origin,dest,lat1,lon1,lat2,lon2,value
hkg,usa,22.396428,114.10949699999999,37.09024,-95.712891,62490382835.5
usa,hkg,37.09024,-95.712891,22.396428,114.10949699999999,62490382835.5
usa,bra,37.09024,-95.712891,-14.235004,-51.92528,60992890822.0
bra,usa,-14.235004,-51.92528,37.09024,-95.712891,60992890822.0
deu,hun,51.165690999999995,10.451526,47.162494,19.503304,58643463434.0
hun,deu,47.162494,19.503304,51.165690999999995,10.451526,58643463434.0
che,usa,46.818188,8.227511999999999,37.09024,-95.712891,58591409316.0
usa,che,37.09024,-95.712891,46.818188,8.227511999999999,58591409316.0
nld,usa,52.132633,5.291266,37.09024,-95.712891,58077967762.5
usa,nld,37.09024,-95.712891,52.132633,5.291266,58077967762.5
fra,nld,46.227638,2.213749,52.132633,5.291266,54684404577.0
nld,fra,52.132633,5.291266,46.227638,2.213749,54684404577.0
bel,gbr,50.503887,4.469936,55.378051,-3.435973,54400630224.0
gbr,bel,55.378051,-3.435973,50.503887,4.469936,54400630224.0
usa,irl,37.09024,-95.712891,53.41291,-8.243889999999999,53276471927.5
irl,usa,53.41291,-8.243889999999999,37.09024,-95.712891,53276471927.5
usa,sgp,37.09024,-95.712891,1.352083,103.819836,52494884449.0
sgp,usa,1.352083,103.819836,37.09024,-95.712891,52494884449.0
ita,esp,41.87194,12.56738,40.463667,-3.7492199999999998,51933042351.5
esp,ita,40.463667,-3.7492199999999998,41.87194,12.56738,51933042351.5
chn,ita,35.86166,104.195397,41.87194,12.56738,51661465030.5
ita,chn,41.87194,12.56738,35.86166,104.195397,51661465030.5
hkg,sgp,22.396428,114.10949699999999,1.352083,103.819836,49425955934.0
sgp,hkg,1.352083,103.819836,22.396428,114.10949699999999,49425955934.0
bel,usa,50.503887,4.469936,37.09024,-95.712891,48958942739.5
usa,bel,37.09024,-95.712891,50.503887,4.469936,48958942739.5
deu,swe,51.165690999999995,10.451526,60.128161,18.643501,48189998046.0
swe,deu,60.128161,18.643501,51.165690999999995,10.451526,48189998046.0
deu,rus,51.165690999999995,10.451526,61.52401,105.31875600000001,48036313083.5
rus,deu,61.52401,105.31875600000001,51.165690999999995,10.451526,48036313083.5
jpn,aus,36.204824,138.252924,-25.274398,133.775136,47957150983.5
aus,jpn,-25.274398,133.775136,36.204824,138.252924,47957150983.5
jpn,deu,36.204824,138.252924,51.165690999999995,10.451526,46422537981.0
